# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1201188270,28,188.50,270.50,174.711651,-1.924177,0.0457,1,25.051,24.743,0.646,1.067,0.633,64.53
1201193125,29,193.50,125.50,174.711373,-1.932233,0.4827,1,24.823,24.632,0.390,0.731,0.973,22.90
1201197192,2,197.50,192.50,174.711151,-1.928511,0.3462,4,19.195,18.582,1.052,3.012,0.726,102.26
1201197199,1,197.50,199.50,174.711151,-1.928122,0.3469,4,18.803,18.203,1.175,4.253,0.753,72.49
1201200263,116,200.50,263.50,174.710984,-1.924566,0.6928,1,26.895,27.267,0.302,0.442,0.717,97.35
1201201063,6,201.50,63.50,174.710929,-1.935677,0.3482,4,21.713,21.256,0.624,1.447,0.936,174.69
1201202221,296,202.50,221.50,174.710873,-1.926900,0.7046,1,23.867,23.350,0.746,1.107,0.735,54.65
1201207317,12,207.50,317.50,174.710595,-1.921566,1.2612,3,24.024,23.966,0.423,0.770,0.913,156.12
1201208270,129,208.50,270.50,174.710540,-1.924177,5.6826,1,27.511,26.757,0.315,0.485,0.908,10.18
1201211149,13,211.50,149.50,174.710373,-1.930900,0.2823,2,24.158,23.822,0.521,0.938,0.890,45.48
1201219137,5,219.50,137.50,174.709928,-1.931566,0.5439,4,21.399,21.206,0.760,1.532,0.670,170.72
1201221168,67,221.50,168.50,174.709817,-1.929844,1.0754,1,25.328,24.972,0.723,1.129,0.657,101.42
1201226329,63,226.50,329.50,174.709539,-1.920900,1.2622,2,25.318,25.452,0.449,0.738,0.872,3.65
1201227230,34,227.50,230.50,174.709484,-1.926400,0.5779,1,24.742,24.284,0.686,1.203,0.783,72.39
1201229132,32,229.50,132.50,174.709372,-1.931844,0.5437,3,23.896,23.763,0.734,1.249,0.800,171.01
1201231194,295,231.50,194.50,174.709261,-1.928400,0.3121,1,23.748,23.431,0.794,1.141,0.846,50.26
1201233238,71,233.50,238.50,174.709150,-1.925955,0.3338,3,25.181,25.125,0.543,0.892,0.865,41.67
1201233337,78,233.50,337.50,174.709150,-1.920455,5.6381,1,25.923,25.552,0.448,0.759,0.649,37.79
1201250296,58,250.50,296.50,174.708205,-1.922733,3.2387,3,25.423,25.783,0.318,0.526,0.901,20.37
1201251055,57,251.50,55.50,174.708149,-1.936122,1.1867,2,24.393,24.336,0.665,1.067,0.765,142.13
1201252223,4,252.50,223.50,174.708094,-1.926788,0.3460,4,21.355,20.864,0.837,2.056,0.708,47.10
1201254104,84,254.50,104.50,174.707983,-1.933400,0.2719,1,25.431,24.983,0.523,1.022,0.803,101.09
1201259248,117,259.50,248.50,174.707705,-1.925400,1.3635,1,26.413,26.291,0.384,0.651,0.785,1.64
1201265058,148,265.50,58.50,174.707371,-1.935955,3.9774,2,25.495,25.800,0.428,0.628,0.810,165.87
1201267094,95,267.50,94.50,174.707260,-1.933955,0.0643,1,25.336,25.467,0.493,0.744,0.767,119.82
1201267266,60,267.50,266.50,174.707260,-1.924400,0.9690,3,25.047,24.693,0.579,1.049,0.777,34.36
1201271114,97,271.50,114.50,174.707038,-1.932844,0.7839,1,26.022,25.924,0.358,0.588,0.819,3.56
